Station	Long	Lat	Dur_E	Dur_N	Dur_U	GOM25_Vel_E	GOM25_Vel_N	GOM25_Vel_U	IGS20_Vel_E	IGS20_Vel_N	IGS20_Vel_U	Diff_Vel_E	Diff_Vel_N	Diff_Vel_U
AL13	-85.931	34.604	15.090	15.080	11.540	0.100	-0.500	0.800	-13.600	0.700	-0.800	13.700	-1.200	1.600
AL15	-86.080	33.990	15.080	12.240	12.190	0.000	-0.100	-0.200	-13.500	0.900	-1.000	13.500	-1.000	0.800
AL20	-87.663	34.710	11.950	11.950	11.950	0.100	0.100	0.600	-13.700	0.600	-0.200	13.800	-0.500	0.800
AL30	-86.853	33.532	18.990	18.990	18.990	-0.100	0.000	-0.100	-13.500	0.800	-0.900	13.400	-0.800	0.800
AL35	-86.757	33.165	16.370	16.370	16.370	0.100	0.300	0.100	-13.200	1.100	-0.700	13.300	-0.800	0.800
AL46	-85.161	32.326	15.080	12.210	12.190	0.200	0.000	-0.600	-12.900	1.400	-1.300	13.100	-1.400	0.700
AL50	-87.502	33.168	18.990	18.990	18.990	-0.200	-0.800	-0.100	-13.500	-0.300	-0.900	13.300	-0.500	0.800
AL55	-87.616	32.711	12.150	12.150	11.560	0.100	-0.400	-0.000	-13.100	0.100	-0.800	13.200	-0.500	0.800
AL60	-86.271	32.411	18.570	18.570	17.360	-0.000	0.200	-0.700	-13.100	1.200	-1.500	13.100	-1.000	0.800
AL81	-88.182	32.576	14.210	14.230	12.510	-0.900	-0.200	-0.900	-14.100	0.100	-1.700	13.200	-0.300	0.800
AL82	-87.626	32.257	14.950	5.590	13.750	0.200	-0.400	-0.700	-12.900	0.100	-1.400	13.100	-0.500	0.700
AL84	-87.789	31.700	15.870	12.470	14.660	-0.000	-0.000	-0.900	-12.900	0.400	-1.600	12.900	-0.400	0.700
ALA1	-85.504	32.599	15.050	12.450	13.840	0.100	0.100	-0.300	-13.000	1.300	-1.200	13.100	-1.200	0.900
ALCN	-85.659	34.163	15.450	15.450	15.450	-0.100	-0.000	0.400	-13.700	1.200	-0.500	13.600	-1.200	0.900
ALCU	-86.845	34.180	12.490	12.450	14.750	0.100	0.000	0.100	-13.500	0.800	-0.700	13.600	-0.800	0.800
ALFA	-87.829	33.685	15.090	15.090	15.090	-0.100	-0.200	0.200	-13.600	0.200	-0.600	13.500	-0.400	0.800
ALGR	-86.617	31.829	15.090	12.220	12.190	0.100	0.000	-0.700	-12.900	0.800	-1.300	13.000	-0.800	0.600
ALHC	-85.635	33.524	12.950	14.800	14.800	-0.100	-0.500	0.300	-13.500	0.700	-0.600	13.400	-1.200	0.900
ALLA	-85.401	32.917	13.920	16.010	16.010	-0.400	0.200	0.100	-13.600	1.500	-0.700	13.200	-1.300	0.800
ALNB	-85.916	31.377	15.040	11.210	13.830	-0.200	0.100	-0.600	-13.000	1.200	-1.400	12.800	-1.100	0.800
ALSE	-87.012	32.447	12.260	14.890	13.680	-0.200	0.200	-1.000	-13.300	0.900	-1.800	13.100	-0.700	0.800
ALSP	-87.172	34.418	14.370	11.510	11.500	-0.300	-0.300	-0.200	-14.000	0.300	-0.900	13.700	-0.600	0.700
ALTA	-86.121	33.423	14.930	14.930	14.930	0.200	0.300	-0.000	-13.200	1.300	-0.900	13.400	-1.000	0.900
ALTU	-85.954	31.800	10.620	11.870	10.610	0.200	0.200	-0.500	-12.800	1.300	-1.400	13.000	-1.100	0.900
ARCM	-92.883	33.542	19.980	19.980	14.080	-0.000	-0.000	-0.600	-13.500	-1.400	-1.300	13.500	1.400	0.700
ARCY	-92.430	35.113	4.460	4.450	4.460	0.100	-0.100	0.800	-13.800	-1.200	0.100	13.900	1.100	0.700
ARGS	-93.116	34.068	7.110	7.110	7.110	-0.800	0.100	-0.000	-14.400	-1.400	-0.700	13.600	1.500	0.700
ARHP	-93.601	33.696	10.400	19.980	19.980	0.500	-0.000	-0.700	-13.000	-1.600	-1.400	13.500	1.600	0.700
ARLR	-92.383	34.673	19.980	19.980	19.980	0.200	-0.000	0.200	-13.600	-1.200	-0.500	13.800	1.200	0.700
ARMO	-91.813	33.595	8.440	8.440	6.580	-0.300	-0.400	0.300	-13.800	-1.400	-0.400	13.500	1.000	0.700
BOSQ	-97.657	31.923	6.980	6.940	11.040	-0.100	-0.100	-0.700	-13.100	-3.200	-1.200	13.000	3.100	0.500
COLA	-81.122	34.081	26.580	16.540	17.070	-0.200	0.800	-0.300	-13.600	3.600	-1.200	13.400	-2.800	0.900
DLND	-81.263	29.056	20.540	20.550	11.070	-0.000	-0.000	0.100	-12.000	2.600	-0.800	12.000	-2.600	0.900
FLD7	-82.364	27.970	8.090	8.080	8.090	-0.100	-0.400	0.200	-11.900	1.900	-0.600	11.800	-2.300	0.800
FLHS	-82.577	28.801	8.090	7.850	8.090	0.100	-0.600	0.700	-11.900	1.700	-0.100	12.000	-2.300	0.800
FLIT	-80.480	27.028	8.090	8.070	8.090	-0.100	-0.300	0.100	-11.500	2.600	-0.700	11.400	-2.900	0.800
FLKW	-81.754	24.554	10.770	10.770	10.770	0.500	0.500	-0.800	-10.200	2.900	-1.600	10.700	-2.400	0.800
FLMD	-83.275	30.374	8.030	8.010	8.030	0.300	-0.500	-0.100	-12.200	1.500	-1.000	12.500	-2.000	0.900
FLPK	-80.568	24.963	8.090	7.940	8.090	-0.000	-0.400	0.300	-10.900	2.400	-0.500	10.900	-2.800	0.800
FLVR	-80.737	28.247	7.970	8.090	8.090	-0.100	-0.100	0.200	-11.900	2.700	-0.700	11.800	-2.800	0.900
FMYR	-81.864	26.591	19.320	19.290	9.220	0.100	0.400	-0.900	-11.300	2.800	-1.700	11.400	-2.400	0.800
GABU	-84.237	32.557	9.150	9.150	9.150	-0.100	-0.200	0.500	-13.300	1.500	-0.300	13.200	-1.700	0.800
GABY	-84.935	31.378	16.390	16.390	6.920	-0.300	0.000	0.500	-13.100	1.500	-0.300	12.800	-1.500	0.800
GACD	-83.782	31.973	9.340	9.340	9.340	0.000	-0.100	0.500	-12.900	1.800	-0.300	12.900	-1.900	0.800
GACR	-83.346	32.381	16.920	20.190	11.360	0.100	0.100	0.100	-13.000	2.100	-0.800	13.100	-2.000	0.900
GACU	-84.125	34.212	10.460	4.410	4.370	-0.700	0.200	-0.400	-14.300	1.000	-0.100	13.600	-0.800	-0.300
GADG	-82.871	31.495	6.590	9.390	9.390	-0.000	-0.000	0.300	-12.800	2.100	-0.800	12.800	-2.100	1.100
GAEL	-82.872	34.116	9.220	9.220	9.220	0.200	-0.500	0.800	-13.300	1.700	-0.100	13.500	-2.200	0.900
GAGT	-84.396	33.776	13.130	13.130	13.130	-0.000	0.500	0.000	-13.500	2.100	-0.800	13.500	-1.600	0.800
